company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR,Pos-Work Life Balance,Pos-Company Culture,Pos-Appraisal,Pos-Learning,Pos-Work Satisfaction,Pos-Salary & Benefits,Pos-Promotions,Pos-Job Security,Pos-Skill Development,Con-Work Life Balance,Con-Company Culture,Con-Appraisal,Con-Learning,Con-Work Satisfaction,Con-Salary & Benefits,Con-Promotions,Con-Job Security,Con-Skill Development
TCS,IT Services & Consulting ,3.8,73.8k Reviews,56.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Accenture,IT Services & Consulting ,4.0,46.8k Reviews,35.0,"Company Culture, Skill Development / Learning, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cognizant,IT Services & Consulting ,3.9,42.2k Reviews,30.0,Skill Development / Learning,Promotions / Appraisal,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Wipro,IT Services & Consulting ,3.8,39.6k Reviews,79.0,Job Security,"Promotions / Appraisal, Salary & Benefits",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Capgemini,IT Services & Consulting ,3.9,34.3k Reviews,57.0,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
HDFC Bank,Banking ,4.0,34.3k Reviews,30.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
ICICI Bank,Banking ,4.0,33.8k Reviews,30.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Infosys,IT Services & Consulting ,3.8,32.1k Reviews,43.0,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
HCLTech,IT Services & Consulting ,3.7,28.9k Reviews,33.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
Tech Mahindra,IT Services & Consulting ,3.7,27.9k Reviews,38.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Genpact,IT Services & Consulting ,3.9,26.5k Reviews,27.0,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
Axis Bank,Banking ,3.9,22.2k Reviews,31.0,Job Security,No-Data,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Teleperformance,BPO ,3.6,22.2k Reviews,46.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Concentrix Corporation,BPO ,3.9,22k Reviews,41.0,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Jio,Telecom ,4.0,20.8k Reviews,17.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Amazon,Internet ,4.1,20.7k Reviews,30.0,"Company Culture, Salary & Benefits, Work Life Balance",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IBM,IT Services & Consulting ,4.1,19.9k Reviews,113.0,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Reliance Retail,Retail ,4.0,19k Reviews,18.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
HDB Financial Services,NBFC ,4.0,18.3k Reviews,17.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Larsen & Toubro Limited,Engineering & Construction ,4.1,16.8k Reviews,86.0,"Job Security, Skill Development / Learning",No-Data,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Vodafone Idea,Telecom ,4.2,15.5k Reviews,6.0,"Company Culture, Work Life Balance, Salary & Benefits",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BYJU'S,EdTech ,3.1,14.7k Reviews,13.0,"Job Security, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kotak Mahindra Bank,Banking ,3.8,14.4k Reviews,21.0,Job Security,Promotions / Appraisal,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Deloitte,Management Consulting ,3.9,14k Reviews,179.0,"Job Security, Skill Development / Learning, Salary & Benefits",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Reliance Industries,Oil & Gas ,4.1,13.8k Reviews,47.0,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
iEnergizer,BPO ,4.6,13.6k Reviews,24.0,"Company Culture, Skill Development / Learning, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bharti Airtel,Telecom ,4.1,12.4k Reviews,29.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Tata Motors,Automobile ,4.2,10.6k Reviews,79.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WNS,BPO ,3.5,9.8k Reviews,28.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
Flipkart,Internet ,4.1,9.4k Reviews,17.0,"Skill Development / Learning, Company Culture, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
IndusInd Bank,Banking ,3.7,9.3k Reviews,30.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ernst & Young,Management Consulting ,3.6,9k Reviews,22.0,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
AU Small Finance Bank,Banking ,4.5,8.8k Reviews,28.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mahindra & Mahindra,Automobile ,4.2,8.8k Reviews,79.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Infosys BPM,BPO ,3.8,8.4k Reviews,22.0,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
DXC Technology,IT Services & Consulting ,3.8,8.4k Reviews,7.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
IDFC FIRST Bank,Banking ,4.0,8.3k Reviews,6.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Conneqt Business Solutions,BPO ,3.7,7.9k Reviews,22.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
LTIMindtree,IT Services & Consulting ,3.7,7.8k Reviews,25.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
HDFC Life,Insurance ,4.1,7.8k Reviews,24.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bajaj Finserv,Financial Services ,4.1,7.6k Reviews,17.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Mphasis,IT Services & Consulting ,3.5,7.1k Reviews,26.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
PwC,Management Consulting ,3.6,7.1k Reviews,144.0,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
HSBC Group,Banking ,4.1,6.8k Reviews,159.0,"Job Security, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Startek,BPO ,3.3,6.8k Reviews,7.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Hinduja Global Solutions,IT Services & Consulting ,4.0,6.8k Reviews,24.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Samsung,Consumer Electronics & Appliances ,4.1,6.7k Reviews,55.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Ericsson,Telecom ,4.3,6.6k Reviews,148.0,"Company Culture, Work Life Balance, Job Security",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maruti Suzuki,Automobile ,4.3,6.6k Reviews,43.0,"Job Security, Salary & Benefits, Skill Development / Learning",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Shriram Finance,NBFC ,4.1,6.5k Reviews,45.0,"Job Security, Skill Development / Learning, Work Life Balance",No-Data,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Yes Bank,Banking ,3.9,6.4k Reviews,20.0,"Salary & Benefits, Work Life Balance",No-Data,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Asian Paints,Chemicals ,4.1,6.4k Reviews,82.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Cipla,Pharma ,4.1,6.2k Reviews,89.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",No-Data,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Sutherland Global Services,IT Services & Consulting ,3.7,6k Reviews,38.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dr. Reddy's,Pharma ,4.2,6k Reviews,40.0,"Skill Development / Learning, Company Culture, Work Life Balance",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paytm,FinTech ,3.5,6k Reviews,14.0,"Job Security, Promotions / Appraisal, Company Culture",No-Data,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bandhan Bank,Banking ,3.8,6k Reviews,23.0,Job Security,"Promotions / Appraisal, Work Satisfaction",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
UltraTech Cement,Building Material ,4.2,6k Reviews,41.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
EXL Service,Analytics & KPO ,3.8,5.9k Reviews,25.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
NTT DATA,IT Services & Consulting ,4.0,5.9k Reviews,36.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
ICICI Prudential Life Insurance,Insurance ,4.1,5.7k Reviews,24.0,"Job Security, Skill Development / Learning, Salary & Benefits",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Bajaj Finance,NBFC ,4.1,5.7k Reviews,37.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Jana Small Finance Bank,Banking ,3.9,5.6k Reviews,18.0,No-Data,No-Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lupin,Pharma ,4.1,5.5k Reviews,56.0,"Skill Development / Learning, Company Culture, Work Life Balance",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Indian Army,Defence & Aerospace ,4.7,5.5k Reviews,129.0,"Job Security, Company Culture, Work Satisfaction",No-Data,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HCL Group,IT Services & Consulting ,3.7,5.4k Reviews,48.0,Job Security,"Promotions / Appraisal, Salary & Benefits",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Quess,BPO ,4.0,5.3k Reviews,17.0,Work Life Balance,Promotions / Appraisal,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Tata Steel,Iron & Steel ,4.2,5.3k Reviews,117.0,"Job Security, Skill Development / Learning, Work Life Balance",No-Data,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
L&T Infotech,IT Services & Consulting ,3.8,5.3k Reviews,28.0,Job Security,"Promotions / Appraisal, Salary & Benefits",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Wells Fargo,Financial Services ,4.1,5.3k Reviews,172.0,"Job Security, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zydus Lifesciences,Pharma ,4.1,5.2k Reviews,72.0,"Job Security, Skill Development / Learning, Salary & Benefits",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Delhivery,Logistics ,4.0,5.2k Reviews,13.0,Skill Development / Learning,Promotions / Appraisal,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Amazon Development Centre India,Internet ,4.2,5.2k Reviews,,"Company Culture, Work Life Balance, Salary & Benefits",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L&T Construction,Engineering & Construction ,4.1,5.1k Reviews,80.0,"Job Security, Skill Development / Learning, Salary & Benefits",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
JPMorgan Chase & Co.,Financial Services ,4.1,5.1k Reviews,56.0,"Job Security, Company Culture, Skill Development / Learning",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Sun Pharmaceutical Industries,Pharma ,4.2,5k Reviews,41.0,"Job Security, Salary & Benefits, Skill Development / Learning",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Hindustan Unilever,FMCG ,4.3,5k Reviews,152.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FIS,FinTech ,3.9,5k Reviews,56.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
ITC,FMCG ,4.0,4.9k Reviews,114.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Udaan,No-Data,4.0,4.8k Reviews,8.0,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
Hexaware Technologies,IT Services & Consulting ,3.7,4.8k Reviews,34.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
IIFL Finance,NBFC ,4.0,4.8k Reviews,29.0,Salary & Benefits,No-Data,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JSW Steel,Iron & Steel ,4.0,4.8k Reviews,42.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Ujjivan Small Finance Bank,Banking ,4.1,4.6k Reviews,7.0,"Company Culture, Job Security, Skill Development / Learning",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Muthoot Finance,NBFC ,3.6,4.5k Reviews,85.0,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Max Life Insurance,Insurance ,4.2,4.5k Reviews,24.0,"Skill Development / Learning, Company Culture, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Aurobindo Pharma,Pharma ,4.0,4.4k Reviews,38.0,"Job Security, Salary & Benefits",No-Data,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tata Projects,Engineering & Construction ,4.3,4.4k Reviews,45.0,"Job Security, Company Culture, Skill Development / Learning",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
KPMG India,Management Consulting ,3.6,4.4k Reviews,37.0,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
Shapoorji Pallonji Group,Engineering & Construction ,4.2,4.4k Reviews,159.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Oracle,Software Product ,3.8,4.4k Reviews,47.0,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Home Credit Finance,Financial Services ,4.1,4.4k Reviews,12.0,"Company Culture, Skill Development / Learning, Work Life Balance",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
eClerx,IT Services & Consulting ,3.5,4.3k Reviews,24.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Apollo Hospitals,Healthcare ,4.1,4.3k Reviews,41.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ashok Leyland,Automobile ,4.1,4.3k Reviews,76.0,"Skill Development / Learning, Work Satisfaction, Company Culture",No-Data,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Siemens,Industrial Automation ,4.2,4.2k Reviews,177.0,"Job Security, Company Culture, Work Life Balance",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Omega Healthcare,Healthcare ,3.8,4.2k Reviews,21.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
JLL,Real Estate ,4.2,4.2k Reviews,25.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Megha Engineering & Infrastructures,Engineering & Construction ,4.0,4.2k Reviews,35.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Vivo,Consumer Electronics & Appliances ,4.1,4.2k Reviews,15.0,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
First Source,BPO ,3.8,4.1k Reviews,23.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
JustDial,Internet ,3.6,4.1k Reviews,28.0,"Promotions / Appraisal, Work Satisfaction, Job Security",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Bajaj Allianz Life Insurance,Insurance ,4.1,4k Reviews,23.0,"Salary & Benefits, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hero MotoCorp,Automobile ,4.2,4k Reviews,40.0,"Work Life Balance, Company Culture, Job Security",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OPPO,Consumer Electronics & Appliances ,4.0,4k Reviews,20.0,Skill Development / Learning,Promotions / Appraisal,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Mahindra Finance,NBFC ,4.3,4k Reviews,33.0,"Job Security, Company Culture, Work Life Balance",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Standard Chartered,Banking ,3.9,3.9k Reviews,171.0,Job Security,Promotions / Appraisal,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
DMart,Retail ,4.0,3.9k Reviews,22.0,"Job Security, Company Culture",Promotions / Appraisal,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Coforge,IT Services & Consulting ,3.5,3.9k Reviews,20.0,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Cyient,IT Services & Consulting ,3.8,3.9k Reviews,33.0,Job Security,"Promotions / Appraisal, Salary & Benefits",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
BigBasket,Internet ,4.0,3.9k Reviews,13.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
ICICI Lombard General Insurance Company,Insurance ,3.8,3.9k Reviews,23.0,Job Security,Promotions / Appraisal,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Indiamart Intermesh,Internet ,3.6,3.9k Reviews,28.0,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",No-Data,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CGI Group,IT Services & Consulting ,4.1,3.8k Reviews,48.0,"Job Security, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Virtusa Consulting Services,IT Services & Consulting ,3.8,3.8k Reviews,28.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Equitas Small Finance Bank,Banking ,4.4,3.7k Reviews,17.0,"Job Security, Company Culture, Work Life Balance",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TVS Motor,Automobile ,4.1,3.7k Reviews,45.0,"Skill Development / Learning, Salary & Benefits, Company Culture",No-Data,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Manappuram Finance,NBFC ,4.0,3.7k Reviews,75.0,"Skill Development / Learning, Promotions / Appraisal",No-Data,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
GlobalLogic,IT Services & Consulting ,3.7,3.7k Reviews,24.0,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1
Ekart Logistics,Logistics ,4.1,3.7k Reviews,15.0,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
UST,IT Services & Consulting ,3.9,3.6k Reviews,23.0,"Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SBI Cards & Payment Services,Financial Services ,3.8,3.6k Reviews,26.0,"Promotions / Appraisal, Work Satisfaction, Company Culture",No-Data,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hewlett Packard Enterprise,IT Services & Consulting ,4.3,3.6k Reviews,9.0,"Company Culture, Work Life Balance, Job Security",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Atos Syntel,IT Services & Consulting ,3.6,3.6k Reviews,44.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Bosch Global Software Technologies,IT Services & Consulting ,4.1,3.6k Reviews,27.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
IQVIA,Clinical Research ,4.1,3.6k Reviews,42.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Nagarro,IT Services & Consulting ,4.1,3.6k Reviews,28.0,"Company Culture, Work Life Balance, Salary & Benefits",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cholamandalam Investment & Finance,NBFC ,4.1,3.6k Reviews,46.0,"Salary & Benefits, Job Security, Skill Development / Learning",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
SMFG India Credit,NBFC ,4.1,3.5k Reviews,17.0,"Salary & Benefits, Job Security, Skill Development / Learning",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Bosch,Auto Components ,4.3,3.5k Reviews,138.0,"Company Culture, Work Life Balance, Skill Development / Learning",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Reliance Communications,Telecom ,4.0,3.5k Reviews,22.0,Skill Development / Learning,Promotions / Appraisal,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
BNY Mellon,Investment Banking / Venture Capital / Private Equity ,4.0,3.5k Reviews,20.0,"Company Culture, Work Life Balance, Salary & Benefits",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L&T Technology Services,IT Services & Consulting ,3.4,3.5k Reviews,12.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Schneider Electric,Industrial Automation ,4.2,3.5k Reviews,25.0,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Hyundai Motor,Automobile ,4.4,3.5k Reviews,57.0,"Job Security, Salary & Benefits, Skill Development / Learning",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Amdocs,Software Product ,4.0,3.4k Reviews,42.0,"Company Culture, Job Security, Salary & Benefits",No-Data,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Oyo Rooms,Hospitality ,3.4,3.4k Reviews,11.0,"Job Security, Promotions / Appraisal, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
CBRE,Real Estate ,4.3,3.4k Reviews,118.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Swiggy,Internet ,3.9,3.4k Reviews,10.0,"Job Security, Promotions / Appraisal",No-Data,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
State Bank of India,Banking ,3.9,3.4k Reviews,218.0,Job Security,"Work Life Balance, Company Culture",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
JBM Group,Auto Components ,4.0,3.4k Reviews,41.0,"Job Security, Skill Development / Learning",No-Data,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
BT Group,Telecom ,4.1,3.3k Reviews,178.0,"Job Security, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
