company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR,Pos-Work Life Balance,Pos-Company Culture,Pos-Appraisal,Pos-Learning,Pos-Work Satisfaction,Pos-Salary & Benefits,Pos-Promotions,Pos-Job Security,Pos-Skill Development,Con-Work Life Balance,Con-Company Culture,Con-Appraisal,Con-Learning,Con-Work Satisfaction,Con-Salary & Benefits,Con-Promotions,Con-Job Security,Con-Skill Development
Sudarshan Chemical Industries,Chemicals ,3.7,415 Reviews,72.0,"Promotions / Appraisal, Job Security",No-Data,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
RuralShores,BPO ,4.1,415 Reviews,16.0,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
WayCool Foods and Products,FMCG ,3.7,415 Reviews,9.0,"Promotions / Appraisal, Job Security, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Moglix,Internet ,3.6,415 Reviews,9.0,"Promotions / Appraisal, Job Security, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Chaayos,Hospitality ,3.5,414 Reviews,12.0,"Work Life Balance, Work Satisfaction, Job Security",No-Data,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CJ Darcl Logistics Limited,Logistics ,4.0,414 Reviews,38.0,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
IRB Infrastructure,Engineering & Construction ,4.2,414 Reviews,26.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Advantmed,Software Product ,3.7,414 Reviews,19.0,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",No-Data,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Heidelberg Cement,Building Material ,4.2,413 Reviews,18.0,"Job Security, Company Culture, Work Life Balance",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cadbury,Food Processing ,4.5,413 Reviews,200.0,"Skill Development / Learning, Company Culture, Salary & Benefits",No-Data,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
EdgeVerve Systems,Software Product ,3.6,413 Reviews,10.0,Job Security,"Promotions / Appraisal, Salary & Benefits",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Riya Travel,Travel & Tourism ,3.8,413 Reviews,44.0,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
Vizag Steel,Iron & Steel ,4.2,412 Reviews,53.0,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Pamac Finserve,Financial Services ,3.6,412 Reviews,29.0,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",No-Data,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hamilton Housewares,Consumer Electronics & Appliances ,4.0,412 Reviews,52.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Damco Solutions,IT Services & Consulting ,4.1,412 Reviews,28.0,"Job Security, Company Culture, Work Life Balance",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ness Technologies,IT Services & Consulting ,3.5,412 Reviews,25.0,"Job Security, Promotions / Appraisal, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Herbalife International,Healthcare ,4.2,412 Reviews,44.0,"Salary & Benefits, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Philips Innovation Campus,Healthcare ,3.9,411 Reviews,26.0,"Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Capco Technologies,IT Services & Consulting ,3.7,411 Reviews,26.0,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
Schoolnet India,EdTech ,3.8,411 Reviews,27.0,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Job Security",0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0
Westin,Hospitality ,4.0,410 Reviews,94.0,"Job Security, Skill Development / Learning",Salary & Benefits,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Continental,Auto Components ,4.0,410 Reviews,153.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Bahwan CyberTek,IT Services & Consulting ,4.0,410 Reviews,25.0,"Company Culture, Work Life Balance, Work Satisfaction",No-Data,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FinThrive,Software Product ,3.9,410 Reviews,21.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anlitiks,No-Data,4.8,410 Reviews,,"Company Culture, Work Life Balance, Job Security",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marelli,Auto Components ,3.8,409 Reviews,105.0,Work Life Balance,Promotions / Appraisal,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Williams Lea,BPO ,4.0,409 Reviews,204.0,"Work Life Balance, Salary & Benefits, Job Security",No-Data,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
DeHaat,Agriculture ,3.7,409 Reviews,5.0,"Job Security, Promotions / Appraisal",No-Data,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Gandhi Automations,Industrial Machinery ,3.9,409 Reviews,28.0,"Salary & Benefits, Skill Development / Learning, Job Security",No-Data,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Al Turki Enterprises,Oil & Gas ,3.7,408 Reviews,19.0,"Promotions / Appraisal, Company Culture, Salary & Benefits",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
DHL Global Forwarding,Logistics ,4.2,408 Reviews,209.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Kirloskar Pneumatic,Industrial Machinery ,4.2,408 Reviews,66.0,"Job Security, Company Culture, Work Life Balance",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pace Setters Business Solutions,BPO ,3.3,408 Reviews,18.0,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Etech Global Services,BPO ,4.4,407 Reviews,27.0,"Job Security, Company Culture, Work Satisfaction",No-Data,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
RAK Ceramics,Building Material ,3.9,407 Reviews,35.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
AT&T,Telecom ,4.2,407 Reviews,41.0,"Salary & Benefits, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
National Payments Corporation of India,FinTech ,3.9,406 Reviews,14.0,"Job Security, Skill Development / Learning, Work Satisfaction",No-Data,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Baker Hughes,Oil & Gas ,4.1,406 Reviews,8.0,"Company Culture, Work Life Balance, Salary & Benefits",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maersk Line,Logistics ,4.3,406 Reviews,120.0,"Work Life Balance, Company Culture, Salary & Benefits",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Craftsman Automation,Industrial Machinery ,3.9,406 Reviews,38.0,"Salary & Benefits, Skill Development / Learning","Company Culture, Job Security, Work Life Balance",0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0
H & R Johnson,Building Material ,4.0,406 Reviews,28.0,Salary & Benefits,No-Data,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nexdigm,Management Consulting ,3.4,405 Reviews,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Perficient,IT Services & Consulting ,3.7,404 Reviews,27.0,No-Data,No-Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monte Carlo,Fashion & Textile ,4.2,404 Reviews,40.0,"Salary & Benefits, Company Culture, Work Life Balance",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RenewBuy,Insurance ,3.8,404 Reviews,10.0,"Promotions / Appraisal, Job Security",No-Data,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ge T & D India,Electrical Equipment ,4.3,404 Reviews,67.0,"Company Culture, Work Life Balance, Skill Development / Learning",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sayaji Hotels,Hospitality ,4.3,404 Reviews,37.0,"Company Culture, Skill Development / Learning, Work Life Balance",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BMC Software,IT Services & Consulting ,4.3,404 Reviews,44.0,"Company Culture, Work Life Balance, Salary & Benefits",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Five-Star Business Finance,NBFC ,4.4,403 Reviews,40.0,"Job Security, Company Culture, Skill Development / Learning",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mecon,Metals & Mining ,3.9,403 Reviews,65.0,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits",1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0
Cashify,Internet ,3.8,403 Reviews,11.0,"Job Security, Promotions / Appraisal",No-Data,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Vijai Electricals,Power ,3.6,403 Reviews,51.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Radico Khaitan,Beverage ,4.0,403 Reviews,81.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Nagarjuna Fertilizers and Chemicals,Agro Chemicals ,4.0,403 Reviews,39.0,"Skill Development / Learning, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
Hpl Electric & Power,Electrical Equipment ,3.6,403 Reviews,32.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Reshamandi,Fashion & Textile ,3.7,403 Reviews,4.0,Job Security,No-Data,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ess Kay Fincorp,NBFC ,4.0,402 Reviews,30.0,"Company Culture, Skill Development / Learning, Work Satisfaction",No-Data,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
iNurture Education Solutions,EdTech ,2.8,402 Reviews,19.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Super Smelters,Metals & Mining ,4.0,402 Reviews,29.0,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0
Suroj Buildcon,Engineering & Construction ,4.2,401 Reviews,11.0,"Company Culture, Job Security, Skill Development / Learning",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Karvy DigiKonnect,Financial Services ,3.0,401 Reviews,9.0,"Salary & Benefits, Job Security, Promotions / Appraisal",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
CMC,Education & Training ,4.2,400 Reviews,56.0,"Skill Development / Learning, Work Satisfaction, Job Security",No-Data,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Coats,Fashion & Textile ,4.0,400 Reviews,50.0,Company Culture,Promotions / Appraisal,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
